iter	Passed	Remaining
296	1407	14
297	1411	9
298	1416	4
299	1421	0
=======
0	179	53631
1	227	33869
2	288	28605
3	308	22838
4	320	18930
5	329	16131
6	359	15067
7	373	13618
8	389	12582
9	400	11625
10	411	10813
11	425	10202
12	449	9914
13	468	9577
14	495	9407
15	515	9153
16	535	8919
17	551	8645
18	564	8343
19	579	8112
20	677	8996
21	735	9300
22	748	9012
23	803	9245
24	822	9042
25	838	8840
26	856	8664
27	871	8468
28	887	8292
29	903	8133
30	918	7973
31	939	7867
32	968	7838
33	984	7704
34	1008	7636
35	1025	7521
36	1038	7384
37	1055	7274
38	1067	7140
39	1077	7006
40	1089	6882
41	1101	6768
42	1114	6659
43	1129	6571
44	1142	6475
45	1157	6390
46	1172	6309
47	1186	6227
48	1201	6152
49	1218	6093
50	1238	6047
51	1259	6005
52	1276	5948
53	1292	5890
54	1312	5844
55	1327	5783
56	1344	5733
57	1362	5686
58	1380	5637
59	1398	5594
60	1415	5544
61	1434	5505
62	1452	5464
63	1476	5443
64	1492	5395
65	1512	5363
66	1525	5304
67	1539	5252
68	1555	5208
69	1572	5165
70	1588	5122
71	1603	5077
72	1618	5031
73	1630	4980
74	1646	4940
75	1663	4902
76	1678	4861
77	1690	4810
78	1705	4772
79	1723	4738
80	1739	4702
81	1752	4658
82	1769	4627
83	1785	4592
84	1802	4558
85	1818	4525
86	1834	4492
87	1849	4456
88	1867	4428
89	1881	4389
90	1897	4357
91	1911	4321
92	1925	4286
93	1942	4256
94	1959	4227
95	1975	4196
96	2000	4187
97	2030	4184
98	2055	4173
99	2076	4152
100	2092	4122
101	2110	4097
102	2125	4064
103	2139	4032
104	2154	4001
105	2168	3968
106	2182	3936
107	2196	3905
108	2211	3875
109	2227	3847
110	2245	3823
111	2261	3796
112	2278	3769
113	2292	3740
114	2305	3709
115	2324	3687
116	2342	3663
117	2358	3637
118	2374	3611
119	2387	3581
120	2402	3554
121	2415	3524
122	2428	3494
123	2443	3468
124	2456	3439
125	2468	3408
126	2478	3375
127	2492	3348
128	2506	3322
129	2518	3293
130	2535	3270
131	2550	3246
132	2565	3221
133	2582	3199
134	2598	3176
135	2611	3149
136	2625	3123
137	2639	3098
138	2652	3072
139	2665	3046
140	2681	3024
141	2695	2999
142	2710	2975
143	2722	2949
144	2736	2924
145	2748	2899
146	2765	2878
147	2781	2856
148	2800	2837
149	2814	2814
150	2837	2800
151	2858	2783
152	2870	2757
153	2888	2738
154	2914	2726
155	2930	2705
156	2944	2681
157	2959	2659
158	2974	2637
159	2989	2615
160	3006	2595
161	3026	2577
162	3039	2555
163	3056	2534
164	3071	2512
165	3087	2492
166	3102	2470
167	3119	2450
168	3133	2428
169	3148	2407
170	3162	2385
171	3176	2363
172	3190	2342
173	3206	2322
174	3222	2302
175	3237	2281
176	3251	2259
177	3265	2237
178	3278	2216
179	3292	2194
180	3309	2175
181	3327	2157
182	3340	2135
183	3356	2115
184	3372	2096
185	3386	2075
186	3401	2055
187	3416	2035
188	3431	2015
189	3446	1995
190	3460	1974
191	3475	1954
192	3487	1933
193	3499	1912
194	3512	1891
195	3523	1869
196	3538	1850
197	3550	1829
198	3563	1808
199	3576	1788
200	3589	1767
201	3603	1748
202	3617	1728
203	3644	1714
204	3664	1698
205	3685	1681
206	3703	1663
207	3717	1644
208	3731	1624
209	3745	1605
210	3762	1586
211	3776	1567
212	3791	1548
213	3802	1528
214	3815	1508
215	3827	1488
216	3844	1470
217	3862	1452
218	3884	1436
219	3905	1420
220	3920	1401
221	3932	1381
222	3948	1363
223	3963	1344
224	3975	1325
225	3989	1306
226	4005	1288
227	4018	1269
228	4030	1249
229	4045	1231
230	4063	1213
231	4078	1195
232	4094	1177
233	4113	1160
234	4129	1142
235	4144	1123
236	4159	1105
237	4174	1087
238	4192	1070
239	4210	1052
240	4227	1034
241	4246	1017
242	4261	999
243	4275	981
244	4290	963
245	4307	945
246	4324	927
247	4338	909
248	4354	891
249	4368	873
250	4383	855
251	4400	838
252	4413	819
253	4427	801
254	4441	783
255	4458	766
256	4473	748
257	4490	730
258	4505	713
259	4517	694
260	4531	677
261	4548	659
262	4565	642
263	4581	624
264	4600	607
265	4617	590
266	4632	572
267	4647	554
268	4662	537
269	4681	520
270	4698	502
271	4713	485
272	4731	467
273	4747	450
274	4764	433
275	4782	415
276	4798	398
277	4814	381
278	4837	364
279	4851	346
280	4861	328
281	4877	311
282	4897	294
283	4913	276
284	4926	259
285	4942	241
286	4957	224
287	4975	207
288	4992	190
289	5011	172
290	5028	155
291	5045	138
292	5060	120
293	5074	103
294	5089	86
295	5108	69
296	5121	51
297	5135	34
298	5148	17
299	5163	0
>>>>>>> Stashed changes
